PARLID	PROVINCE	RIDING	DATE	NAME	PARTY	JOB	VOTES	PERC	ELECTED	ELECTIONNUM
1	New Brunswick	ALBERT	1867-08-07	WALLACE, John	Lib	farmer	778	52.14	1	1
0	New Brunswick	ALBERT	1867-08-07	STEVENS, Henry J.	Unknown		714	47.86	0	1
2	New Brunswick	CARLETON	1867-08-07	CONNELL, Charles	Lib	general merchant	-1	100.0	1	1
3	New Brunswick	CHARLOTTE	1867-08-07	BOLTON, John	Lib	businessman	1214	56.94	1	1
0	New Brunswick	CHARLOTTE	1867-08-07	THOMPSON, Robert	Unknown		918	43.06	0	1
4	New Brunswick	CITY AND COUNTY OF ST. JOHN	1867-08-07	GRAY, John H.	Cons.	lawyer	-1	100.0	1	1
5	New Brunswick	CITY OF ST. JOHN	1867-08-07	TILLEY, Samuel Leonard	Lib.-Cons.	druggist	1402	69.68	1	1
0	New Brunswick	CITY OF ST. JOHN	1867-08-07	WILSON, John	Unknown		610	30.32	0	1
6	New Brunswick	GLOUCESTER	1867-08-07	ANGLIN, Timothy Warren	Lib	editor	1061	61.26	1	1
0	New Brunswick	GLOUCESTER	1867-08-07	MEHAN, John	Unknown		671	38.74	0	1
7	New Brunswick	KENT	1867-08-07	RENAUD, Auguste	Lib	farmer	876	41.28	1	1
0	New Brunswick	KENT	1867-08-07	DES BRISAY,	Unknown		757	35.67	0	1
0	New Brunswick	KENT	1867-08-07	MCINERNAY,	Unknown		485	22.86	0	1
8	New Brunswick	KENT	1867-08-07	CUTLER,	Unknown		4	0.19	0	1
9	New Brunswick	KING'S	1867-08-07	RYAN, George	Lib	farmer	1303	54.61	1	1
0	New Brunswick	KING'S	1867-08-07	OTTY,	Unknown		1083	45.39	0	1
10	New Brunswick	NORTHUMBERLAND	1867-08-07	JOHNSON, John M.	Lib	lawyer	1226	61.83	1	1
0	New Brunswick	NORTHUMBERLAND	1867-08-07	GILLESPIE, Thos.F.	Unknown		757	38.17	0	1
11	New Brunswick	QUEEN'S	1867-08-07	FARRIS, John	Lib	lumber merchant	-1	100.0	1	1
12	New Brunswick	RESTIGOUCHE	1867-08-07	MCMILLAN, John	Lib	merchant	370	58.82	1	1
0	New Brunswick	RESTIGOUCHE	1867-08-07	PHILLIPS, John	Unknown		259	41.18	0	1
13	New Brunswick	SUNBURY	1867-08-07	BURPEE, Charles	Lib	farmer	664	60.97	1	1
0	New Brunswick	SUNBURY	1867-08-07	PERLEY, Wm. C.	Unknown		425	39.03	0	1
14	New Brunswick	VICTORIA	1867-08-07	COSTIGAN, John	Lib.-Cons.	judge	778	57.93	1	1
0	New Brunswick	VICTORIA	1867-08-07	BEVERIDGE, Wm. B.	Unknown		549	40.88	0	1
0	New Brunswick	VICTORIA	1867-08-07	WORKMAN, James	Unknown		16	1.19	0	1
0	New Brunswick	VICTORIA	1867-08-07	TIBBETTS, James	Unknown		0	0.0	0	1
15	New Brunswick	WESTMORLAND	1867-08-07	SMITH, Albert James	Lib	lawyer	2207	82.94	1	1
0	New Brunswick	WESTMORLAND	1867-08-07	LANDRY, J.J.D.	Unknown		454	17.06	0	1
16	New Brunswick	YORK	1867-08-07	FISHER, Charles	Lib	lawyer	-1	100.0	1	1
17	Nova Scotia	ANNAPOLIS	1867-08-07	RAY, William H.	A Conf	farmer	1171	53.54	1	1
18	Nova Scotia	ANNAPOLIS	1867-08-07	LONGLEY,	Cons.	merchant	1016	46.46	0	1
19	Nova Scotia	ANTIGONISH	1867-08-07	MCDONALD, Hugh	A Conf	lawyer	1238	76.04	1	1
0	Nova Scotia	ANTIGONISH	1867-08-07	HENRY, Wm. A.	Cons.	lawyer	390	23.96	0	1
20	Nova Scotia	CAPE BRETON	1867-08-07	MCKEAGNEY, James	A Conf	lawyer	-1	100.0	1	1
21	Nova Scotia	COLCHESTER	1867-08-07	MCLELLAN, Archibald Woodbury	A Conf	lumber merchant	1649	56.13	1	1
22	Nova Scotia	COLCHESTER	1867-08-07	ARCHIBALD, A.G.	Lib.-Cons.	lawyer	1289	43.87	0	1
23	Nova Scotia	CUMBERLAND	1867-08-07	TUPPER, Charles	Cons.	physician	1368	51.84	1	1
24	Nova Scotia	CUMBERLAND	1867-08-07	ANNAND, William	A Conf		1271	48.16	0	1
25	Nova Scotia	DIGBY	1867-08-07	SAVARY, Alfred W.	A Conf	lawyer	792	47.97	1	1
0	Nova Scotia	DIGBY	1867-08-07	WADE,	Unknown		497	30.1	0	1
0	Nova Scotia	DIGBY	1867-08-07	MEHAN,	Unknown		362	21.93	0	1
26	Nova Scotia	GUYSBOROUGH	1867-08-07	CAMPBELL, Stewart	A Conf	lawyer	-1	100.0	1	1
27	Nova Scotia	HALIFAX	1867-08-07	JONES, Alfred	Lab	merchant	2381	26.28	1	1
28	Nova Scotia	HALIFAX	1867-08-07	POWERS, Patrick	A Conf	merchant	2367	26.13	1	1
0	Nova Scotia	HALIFAX	1867-08-07	TOBIN, John	Unknown		2158	23.82	0	1
0	Nova Scotia	HALIFAX	1867-08-07	SHANNON, S.L.	Unknown	lawyer	2154	23.77	0	1
29	Nova Scotia	HANTS	1867-08-07	HOWE, Joseph	A Conf	editor	1530	61.54	1	1
0	Nova Scotia	HANTS	1867-08-07	KING, Jas.	Unknown		956	38.46	0	1
30	Nova Scotia	INVERNESS	1867-08-07	CAMERON, Hugh	A Conf	physician	1186	66.37	1	1
31	Nova Scotia	INVERNESS	1867-08-07	MCDONNELL, S.	Cons.	lawyer	601	33.63	0	1
32	Nova Scotia	KINGS	1867-08-07	CHIPMAN, William Henry	A Conf	merchant	1472	69.08	1	1
0	Nova Scotia	KINGS	1867-08-07	COLEMAN,	Unknown		659	30.92	0	1
33	Nova Scotia	LUNENBURG	1867-08-07	MCDONALD, E.M.	A Conf	editor	1557	63.24	1	1
0	Nova Scotia	LUNENBURG	1867-08-07	KAULBACK, Henry Adolphus Newman	Unknown		905	36.76	0	1
34	Nova Scotia	PICTOU	1867-08-07	CARMICHAEL, James W.	A Conf	shipowner	2011	54.89	1	1
35	Nova Scotia	PICTOU	1867-08-07	MCDONALD, J.	Cons.	lawyer	1653	45.11	0	1
36	Nova Scotia	QUEENS	1867-08-07	FORBES, James F.	A Conf	physician	844	75.7	1	1
0	Nova Scotia	QUEENS	1867-08-07	CAMPBELL,	Unknown		271	24.3	0	1
37	Nova Scotia	RICHMOND	1867-08-07	CROKE, William Joseph	A Conf	lawyer	545	66.14	1	1
0	Nova Scotia	RICHMOND	1867-08-07	DONOVAN,	Unknown		279	33.86	0	1
38	Nova Scotia	SHELBURNE	1867-08-07	COFFIN, Thomas	A Conf	merchant	-1	100.0	1	1
39	Nova Scotia	VICTORIA	1867-08-07	ROSS, William	A Conf	commission merchant	-1	100.0	1	1
40	Nova Scotia	YARMOUTH	1867-08-07	KILLAM, Thomas	A Conf	shipowner	1225	64.78	1	1
0	Nova Scotia	YARMOUTH	1867-08-07	BROWN, George S.	Unknown		666	35.22	0	1
41	Ontario	ADDINGTON	1867-08-07	LAPUM, James N.	Cons.	postmaster	1120	52.98	1	1
42	Ontario	ADDINGTON	1867-08-07	SHIBLEY,	Lib.-Cons.	farmer	991	46.88	0	1
0	Ontario	ADDINGTON	1867-08-07	SMITH, Sir Henry	Unknown		2	0.09	0	1
0	Ontario	ADDINGTON	1867-08-07	PRICE,	Unknown		1	0.05	0	1
0	Ontario	ADDINGTON	1867-08-07	CAMERON, D.	Unknown		0	0.0	0	1
0	Ontario	ADDINGTON	1867-08-07	HAM,	Unknown		0	0.0	0	1
0	Ontario	ADDINGTON	1867-08-07	LOTT,	Unknown		0	0.0	0	1
43	Ontario	ALGOMA	1867-08-07	SIMPSON, Wemyss Mackenzie	Cons.	trader	250	47.26	1	1
0	Ontario	ALGOMA	1867-08-07	BEATTY,	Unknown		241	45.56	0	1
0	Ontario	ALGOMA	1867-08-07	MACDONELL,	Unknown		38	7.18	0	1
44	Ontario	BOTHWELL	1867-08-07	MILLS, David	Lib	lawyer	1333	52.13	1	1
45	Ontario	BOTHWELL	1867-08-07	GLASS,	Cons.		1224	47.87	0	1
46	Ontario	BRANT NORTH	1867-08-07	BOWN, John Young	Lib.-Cons.	physician	672	50.07	1	1
0	Ontario	BRANT NORTH	1867-08-07	CLEMENT,	Unknown		670	49.93	0	1
47	Ontario	BRANT SOUTH	1867-08-07	WOOD, Edmund Burke	Lib	lawyer	1257	53.56	1	1
0	Ontario	BRANT SOUTH	1867-08-07	LEEMING,	Unknown		1090	46.44	0	1
48	Ontario	BROCKVILLE	1867-08-07	CRAWFORD, James	Cons.	contractor	690	56.98	1	1
0	Ontario	BROCKVILLE	1867-08-07	CHAMBERS,	Unknown		521	43.02	0	1
49	Ontario	BRUCE NORTH	1867-08-07	SPROAT, Alexander	Cons.	treasurer	862	50.29	1	1
0	Ontario	BRUCE NORTH	1867-08-07	DOUGLAS,	Unknown	physician	852	49.71	0	1
