"ID","name","exitDate","needGhostRow","termsServed","Party"
2875,"KING, W.L. Mackenzie","1945-08-06",1,0,"Lib"
3148,"CARDIN, Pierre Joseph Arthur","1945-06-11",1,11,"Ind."
3470,"POWER, Charles Gavan","1953-08-10",1,9,"Lib"
3608,"WARD, William John","1949-06-27",1,0,"Lib"
3717,"CASSELMAN, A.","1958-03-31",1,10,"P.C."
3725,"SENN, Mark Cecil","1945-06-11",1,6,"P.C."
3816,"CHURCH, Thomas Langton","1949-06-27",1,4,"P.C."
3832,"HARRIS, Joseph H.","1949-06-27",1,7,"P.C."
3935,"POULIOT, Jean Francois","1953-08-10",1,8,"Lib"
4017,"STIRLING, Grote","1945-06-11",1,6,"P.C."
4130,"ROWE, W. Earl","1962-06-18",1,11,"P.C."
4197,"BRADETTE, Joseph Arthur","1949-06-27",1,5,"Lib"
4237,"RAYMOND, Maxime","1945-06-11",1,5,"Ind."
4271,"LACOMBE, Joseph Romeo Liguori","1945-06-11",1,2,"Ind."
4402,"GLEN, James Allison","1945-06-11",1,2,"Lib"
4420,"EMMERSON, Henry Read","1945-06-11",1,2,"Lib"
4430,"ILSLEY, James Lorimer","1945-06-11",1,4,"Lib"
4438,"MACDONALD, W. Ross","1949-06-27",1,3,"Lib"
4620,"REID, Thom","1949-06-27",1,4,"Lib"
4622,"MACKENZIE, Ian Alistair","1945-06-11",1,3,"Lib"
4624,"MACINNIS, Angus","1953-08-10",1,5,"CCF"
4760,"GRANT, Thomas Vincent","1945-06-11",1,2,"Lib"
4780,"FOURNIER, Alphonse","1949-06-27",1,4,"Lib"
4800,"DUBOIS, Lucien","1945-06-11",1,3,"Ind."
4877,"JEAN, Joseph","1949-06-27",1,4,"Lib"
4881,"GOLDING, William Henry","1945-06-11",1,3,"Lib"
4901,"QUELCH, Victor","1957-06-10",1,5,"Ind."
4908,"FAIR, Robert","1953-08-10",1,4,"Ind."
4920,"MARSHALL, James Alexander","1945-06-11",1,2,"Ind."
4928,"MACKINNON, James A.","1945-06-11",1,2,"Lib"
4952,"JAQUES, Norman","1945-06-11",1,2,"Ind."
4971,"HERRIDGE, Herbert W.","1965-11-08",1,7,"N.D.P."
5005,"MATTHEWS, James Ewen","1949-06-27",1,3,"Lib"
5010,"WINKLER, Howard Waldemar","1949-06-27",1,3,"Lib"
5022,"LEADER, Harry","1945-06-11",1,2,"Lib"
5049,"MUTCH, Leslie Alexander","1949-06-27",1,3,"Lib"
5054,"MAYBANK, Ralph","1949-06-27",1,3,"Lib"
5055,"KNOWLES, Stanley","1980-02-18",1,7,"N.D.P."
5068,"BROOKS, Alfred J.","1958-03-31",1,6,"P.C."
5092,"ISNOR, Gordon B.","1949-06-27",1,3,"Lib"
5106,"FARQUHAR, Thomas","1945-06-11",1,2,"Lib"
5145,"MARTIN, Paul","1965-11-08",1,9,"Lib"
5148,"CLARK, Stuart Murray","1953-08-10",1,4,"Lib"
5153,"MCIVOR, Dan","1957-06-10",1,5,"Lib"
5161,"MASSEY, Denton","1945-06-11",1,2,"P.C."
5172,"CLEAVER, Hughes","1949-06-27",1,3,"Lib"
5204,"LOCKHART, Norman J.","1945-06-11",1,2,"P.C."
5247,"GRAYDON, Gordon","1953-08-10",1,4,"P.C."
5263,"TUSTIN, George James","1953-08-10",1,4,"P.C."
5287,"ROSS, Douglas Gooderham","1945-06-11",1,2,"P.C."
5291,"CHEVRIER, Lionel","1963-04-08",1,8,"Lib"
5293,"LITTLE, Walter","1949-06-27",1,3,"Lib"
5311,"GLADSTONE, Robert W.","1945-06-11",1,2,"Lib"
5315,"LENNARD, Frank Exton","1958-03-31",1,4,"P.C."
5351,"BRUNELLE, Herve Edgar","1945-06-11",1,2,"Lib"
5357,"BLACK, Donald E.","1949-06-27",1,3,"Lib"
5361,"TREMBLAY, Leonard David","1949-06-27",1,3,"Lib"
5378,"LALONDE, Maurice","1945-06-11",1,2,"Lib"
5381,"BERTRAND, Ernest","1949-06-27",1,3,"Lib"
5391,"FOURNIER, Sarto","1949-06-27",1,3,"Lib"
5412,"MCDONALD, Wallace Reginald","1945-06-11",1,2,"Lib"
5424,"MULLINS, James Patrick","1945-06-11",1,2,"Lib"
5439,"DENIS, Azellus","1963-04-08",1,8,"Lib"
5519,"TUCKER, Walter Adam","1945-06-11",1,2,"Lib"
5558,"WARREN, Ralph Melville","1949-06-27",1,3,"Lib"
5560,"MACLEAN, Matthew","1949-06-27",1,3,"Lib"
5562,"MAYHEW, Robert Wellington","1949-06-27",1,3,"Lib"
5566,"BONNIER, Joseph Arsene","1957-06-10",1,5,"Lib"
5577,"HOMUTH, Karl","1949-06-27",1,3,"P.C."
5582,"MARIER, Elphege","1949-06-27",1,3,"Lib"
5591,"DECHENE, Joseph Miville","1957-06-10",1,4,"Lib"
5678,"ROSS, James Arthur","1949-06-27",1,2,"P.C."
5691,"LEGER, Aurel D.","1949-06-27",1,2,"Lib"
5693,"MALONEY, John William","1945-06-11",1,0,"Lib"
5696,"HATFIELD, Heber Harold","1949-06-27",1,2,"P.C."
5706,"BLACK, Percy Chapman","1949-06-27",1,2,"P.C."
5709,"MACDONALD, William Chisholm","1945-06-11",1,1,"Lib"
5713,"MCGARRY, Moses Elijah","1945-06-11",1,1,"Lib"
5721,"NIXON, George Ewart","1965-11-08",1,8,"Lib"
5743,"MACDIARMID, William B.","1945-06-11",1,1,"Lib"
5752,"ROSS, Tom","1953-08-10",1,3,"Lib"
5754,"GIBSON, Colin","1949-06-27",1,2,"Lib"
5755,"STOKES, George Henry","1945-06-11",1,1,"P.C."
5758,"WHITE, George Stanley","1957-06-10",1,4,"P.C."
5759,"CAMERON, Alan John Patrick","1965-11-08",1,2,"Lib"
5761,"CARDIFF, Elston","1963-04-08",1,7,"P.C."
5784,"MCILRAITH, George","1968-06-25",1,9,"Lib"
5787,"BRUCE, Herbert A.","1945-06-11",1,1,"P.C."
5793,"FRASER, Gordon Knapman","1958-03-31",1,5,"P.C."
5827,"NOSEWORTHY, Joseph W.","1953-08-10",1,1,"CCF"
5828,"ADAMSON, Rodney","1953-08-10",1,3,"P.C."
5834,"DOUGLAS, James Lester","1949-06-27",1,2,"Lib"
5840,"PICARD, L. Philippe","1953-08-10",1,3,"Lib"
5844,"HALLE, Maurice","1945-06-11",1,1,"Lib"
5860,"EUDES, Raymond","1963-04-08",1,7,"Lib"
5879,"LAFONTAINE, Joseph","1957-06-10",1,4,"Lib"
5905,"HEALY, Thomas Patrick","1953-08-10",1,3,"Lib"
5909,"ABBOTT, Douglas Charles","1953-08-10",1,3,"Lib"
5920,"CLAXTON, Brooke","1953-08-10",1,3,"Lib"
5928,"BERTRAND, Lionel","1949-06-27",1,2,"Lib"
5934,"COTE, Paul Emile","1953-08-10",1,3,"Lib"
5947,"DIEFENBAKER, John George","1979-05-22",1,12,"P.C."
5978,"BLACK, George","1945-06-11",1,1,"P.C."
5981,"BOUCHER, G. Russell","1945-06-11",1,1,"P.C."
5983,"BREITHAUPT, Louis O.","1949-06-27",1,2,"Lib"
5992,"MITCHELL, Humphrey","1949-06-27",1,2,"Lib"
5996,"ST LAURENT, tres hon. Louis Stephen","1957-06-10",1,4,"Lib"
5997,"FAUTEUX, Gaspard","1949-06-27",1,2,"Lib"
