"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
2875,"KING, W.L. Mackenzie","1949-06-27",0,1,1,1,1,"Lib",1
3148,"CARDIN, Pierre Joseph Arthur","1949-06-27",0,0,0,0,12,"Ind.",0
3470,"POWER, Charles Gavan","1957-06-10",0,0,0,0,10,"Lib",1
3608,"WARD, William John","1953-08-10",0,0,0,0,1,"Lib",1
3717,"CASSELMAN, A.","1962-06-18",0,0,0,0,11,"P.C.",1
3725,"SENN, Mark Cecil","1949-06-27",0,0,0,0,7,"P.C.",0
3816,"CHURCH, Thomas Langton","1953-08-10",0,0,0,0,5,"P.C.",0
3832,"HARRIS, Joseph H.","1953-08-10",0,0,0,0,8,"P.C.",0
3935,"POULIOT, Jean Francois","1957-06-10",0,0,0,0,9,"Lib",1
4017,"STIRLING, Grote","1949-06-27",0,0,0,0,7,"P.C.",0
4130,"ROWE, W. Earl","1963-04-08",0,0,0,0,12,"P.C.",1
4197,"BRADETTE, Joseph Arthur","1953-08-10",0,0,0,0,6,"Lib",1
4237,"RAYMOND, Maxime","1949-06-27",0,0,0,0,6,"Ind.",0
4271,"LACOMBE, Joseph Romeo Liguori","1949-06-27",0,0,0,0,3,"Ind.",0
4402,"GLEN, James Allison","1949-06-27",0,1,0,0,3,"Lib",1
4420,"EMMERSON, Henry Read","1949-06-27",0,0,0,0,3,"Lib",1
4430,"ILSLEY, James Lorimer","1949-06-27",0,1,1,0,5,"Lib",1
4438,"MACDONALD, W. Ross","1953-08-10",0,0,0,0,4,"Lib",1
4620,"REID, Thom","1953-08-10",0,0,0,0,5,"Lib",1
4622,"MACKENZIE, Ian Alistair","1949-06-27",0,1,0,0,4,"Lib",1
4624,"MACINNIS, Angus","1957-06-10",0,0,0,0,6,"CCF",0
4760,"GRANT, Thomas Vincent","1949-06-27",0,0,0,0,3,"Lib",1
4780,"FOURNIER, Alphonse","1953-08-10",0,1,1,0,5,"Lib",1
4800,"DUBOIS, Lucien","1949-06-27",0,0,0,0,4,"Ind.",0
4877,"JEAN, Joseph","1953-08-10",0,1,0,0,5,"Lib",1
4881,"GOLDING, William Henry","1949-06-27",0,0,0,0,4,"Lib",1
4901,"QUELCH, Victor","1958-03-31",0,0,0,0,6,"Ind.",0
4908,"FAIR, Robert","1957-06-10",0,0,0,0,5,"Ind.",0
4920,"MARSHALL, James Alexander","1949-06-27",0,0,0,0,3,"Ind.",0
4928,"MACKINNON, James A.","1949-06-27",0,1,0,0,3,"Lib",1
4952,"JAQUES, Norman","1949-06-27",0,0,0,0,3,"Ind.",0
4971,"HERRIDGE, Herbert W.","1968-06-25",0,0,0,0,8,"N.D.P.",0
5005,"MATTHEWS, James Ewen","1953-08-10",0,0,0,0,4,"Lib",1
5010,"WINKLER, Howard Waldemar","1953-08-10",0,0,0,0,4,"Lib",1
5022,"LEADER, Harry","1949-06-27",0,0,0,0,3,"Lib",1
5049,"MUTCH, Leslie Alexander","1953-08-10",0,0,0,0,4,"Lib",1
5054,"MAYBANK, Ralph","1953-08-10",0,0,0,0,4,"Lib",1
5055,"KNOWLES, Stanley","1984-09-04",0,0,0,0,8,"N.D.P.",0
5068,"BROOKS, Alfred J.","1962-06-18",0,1,0,0,7,"P.C.",1
5092,"ISNOR, Gordon B.","1953-08-10",0,0,0,0,4,"Lib",1
5106,"FARQUHAR, Thomas","1949-06-27",0,0,0,0,3,"Lib",1
5145,"MARTIN, Paul","1968-06-25",0,0,0,0,10,"Lib",1
5148,"CLARK, Stuart Murray","1957-06-10",0,0,0,0,5,"Lib",1
5153,"MCIVOR, Dan","1958-03-31",0,0,0,0,6,"Lib",0
