Albany,5271,101,160,4189,185,395,12726,884,,,
Ashburton,207,1318,4357,571,138,12279,,,,,
Auckland Central,74,292,4599,3089,28,181,7876,1550,189,,
Avon,110,1238,28,16,63,109,2170,5095,275,9345,
Awarua,655,194,10187,5223,566,387,,,,,
Bay of Islands,177,8612,300,3327,2225,344,618,36,613,,
Birkenhead,1820,161,7281,179,10094,99,900,,,,
Christchurch Central,1963,8487,1541,4718,396,94,101,164,27,,
Christchurch North,11050,149,148,297,1207,8902,,,,,
Clevedon,1831,239,10851,165,476,6119,,,,,
Clutha,641,4671,594,11198,1034,88,213,,,,
Coromandel,4127,397,10469,591,324,4044,127,,,,
Dunedin North,181,68,2228,7471,146,9807,10,148,1127,,
Dunedin West,82,1098,8192,9971,880,226,,,,,
East Cape,797,6201,398,63,196,8169,,,,,
East Coast Bays,2406,3433,5575,10791,45,430,,,,,
Eastern Hutt,426,1605,8312,7511,,,,,,,
Eden,124,1814,9117,116,42,700,7593,293,,,
Fendalton,117,10950,5957,1002,130,477,1848,,,,
Gisborne,136,63,739,8196,28,1186,7747,,,,
Glenfield,118,319,940,10194,7236,1831,38,,,,
Hamilton East,449,7596,76,328,110,963,329,9717,207,,
Hamilton West,275,435,776,163,7485,268,9048,,,,
Hastings,1246,8404,223,688,176,9132,,,,,
Hawkes Bay,152,9878,72,77,59,1195,6983,572,,,
Heretaunga,927,1000,218,164,7112,8234,1194,,,,
Hobson,562,603,3287,9928,2313,,,,,,
Horowhenua,9727,9103,659,256,1335,166,,,,,
Invercargill,319,746,10727,6590,334,659,,,,,
Island Bay,125,104,57,37,2343,1342,5399,205,115,9034,
Kaimai,13039,136,398,4892,2027,103,564,,,,
Kaipara,171,736,539,3139,11749,2706,,,,,
Kapiti,319,1219,433,9663,11262,195,,,,,
King Country,10406,1368,3132,53,497,107,496,77,,,
Lyttelton,1996,9368,1760,137,141,9300,74,,,,
Manawatu,10052,360,6963,525,66,1757,,,,,
Mangere,3145,55,832,148,7184,1658,,,,,
Manurewa,6113,89,7256,1025,205,1135,251,11,164,,
Maramarua,10732,3062,222,130,683,392,396,1853,,,
Marlborough,155,901,102,180,5657,425,12844,,,,
Matamata,760,11278,387,379,2777,409,,,,,
Miramar,965,69,29,1914,17,123,8237,8789,64,,
Mt Albert,6684,7914,151,127,1774,133,1418,,,,
Napier,8420,1428,904,7155,66,141,,,,,
Nelson,8506,9142,124,851,90,152,1816,,,,
New Lynn,6452,7551,204,220,1792,163,1516,102,,,
New Plymouth,179,9883,8182,100,476,1425,,,,,
North Shore,11944,2943,197,124,168,882,5761,,,,
Ohariu,138,9930,131,9147,1839,682,91,85,,,
Onehunga,148,7678,170,1016,1909,8290,,,,,
Otago,387,5458,9385,976,479,262,243,,,,
Otara,7360,210,109,1144,8586,1297,,,,,
Pahiatua,11172,292,918,3483,755,,,,,,
Pakuranga,50,420,3920,166,124,312,2211,13006,31,,
Palmerston North,851,359,107,44,8283,1465,7934,701,,,
Panmure,5792,1274,221,33,1480,75,136,6890,,,
Papakura,877,427,208,309,10196,4531,132,1955,,,
Papatoetoe,167,7612,168,714,8122,1199,,,,,
Pencarrow,233,89,7486,25,1499,374,131,125,15,1191,7102
Porirua,23,115,4649,1441,1193,8102,183,,,,
Raglan,384,416,214,725,192,4909,1407,10351,,,
Rangiora,1530,1084,11135,5862,1458,62,94,255,,,
Rangitikei,3588,1786,730,396,1213,9715,140,,,,
Remuera,85,2682,11777,4409,194,599,114,,,,
Roskill,111,1287,12,153,96,8488,952,185,9132,,
Rotorua,66,170,9710,725,229,4440,1732,,,,
Selwyn,195,151,5742,1693,227,225,11183,1246,,,
St Albans,9990,8430,310,28,2127,209,,,,,
St Kilda,7911,9797,1297,1059,61,325,,,,,
Sydenham,9821,5812,112,37,4369,13,134,,,,
Tamaki,44,49,2633,4599,789,12191,134,67,183,,
Taranaki,500,3593,1625,72,11460,133,198,254,,,
Tarawera,9008,180,1511,110,3856,52,262,1232,,,
Tasman,159,1091,72,704,120,8194,10440,70,,,
Tauranga,141,1566,4592,87,13906,605,287,,,,
Te Atatu,129,323,7292,8662,1277,1672,,,,,
Timaru,1739,7279,674,10471,213,,,,,,
Titirangi,159,2450,7082,346,1418,7018,,,,,
Tongariro,656,222,79,121,6941,191,6055,,,,
Waikaremoana,4053,455,53,171,9918,1201,105,,,,
Waikato,261,305,4846,429,993,132,11018,,,,
Waipa,3496,840,447,774,11973,372,,,,,
Wairarapa,10767,651,1674,6626,236,199,112,,,,
Waitaki,184,10708,577,7803,1139,128,,,,,
Waitotara,10757,624,447,3565,968,708,,,,,
Wallace,12243,556,148,366,3357,690,,,,,
Wanganui,446,123,6751,22,5983,6342,762,,,,
Wellington Central,175,8823,49,604,3164,29,9069,,,,
West Auckland,6949,311,48,541,1821,89,980,6697,223,,
West Coast,6567,237,1056,9178,1349,218,,,,,
Western Hutt,162,94,15,1372,9167,668,54,132,8467,,
Whangarei,11191,419,175,1801,602,105,4352,,,,
Yaldhurst,9699,381,9657,151,1595,563,85,,,,
Eastern Maori,1484,2241,9085,,,,,,,,
Northern Maori,1195,5789,4833,,,,,,,,
Southern Maori,1287,391,1410,9024,,,,,,,
Western Maori,272,1287,2385,7851,,,,,,,
