Riding	Date	Candidate	Party	Votes	Elected
Albany	11/25/1978	McKinnon DC	NAT	8597	1
Albany	11/25/1978	Rankin DW	LAB	7438	0
Albany	11/25/1978	Thew G	SC	4091	0
Albany	11/25/1978	Dean AMR	V	543	0
Albany	11/25/1978	Belton CP	I	307	0
Albany	11/28/1981	McKinnon DC	NAT	9966	1
Albany	11/28/1981	Mockridge B	LAB	8002	0
Albany	11/28/1981	Thew G	SC	6573	0
Albany	8/15/1987	McKinnon DC	NAT	10799	1
Albany	8/15/1987	Carter CJ	LAB	9141	0
Albany	8/15/1987	Thew G	DEM	896	0
Albany	8/15/1987	Smith BRH	SV	154	0
Albany	8/15/1987	Cummings Ms RE	NZP	151	0
Arch Hull	11/27/1946	Parry WE	LAB	9558	1
Arch Hull	11/27/1946	Clark EJ	NAT	2973	0
Arch Hull	11/27/1946	Wilcox VG	C	534	0
Arch Hull	11/30/1949	Parry WE	LAB	8399	1
Arch Hull	11/30/1949	Smith GF	NAT	3225	0
Arch Hull	11/30/1949	Wilcox VG	C	343	0
Arch Hull	9/1/1951	Stewart JS	LAB	7311	1
Arch Hull	9/1/1951	Hope TPB	NAT	3346	0
Arch Hull	9/1/1951	Wilcox VG	C	173	0
Ashburton	11/27/1946	Gerard RG	NAT	7386	1
Ashburton	11/27/1946	Newlands Mrs A	LAB	5933	0
Ashburton	11/30/1949	Gerard RG	NAT	7642	1
Ashburton	11/30/1949	Rose WE	LAB	5257	0
Ashburton	9/1/1951	Gerard RG	NAT	7812	1
Ashburton	9/1/1951	Rose WE	LAB	4945	0
Ashburton	11/13/1954	Gerard RG	NAT	6939	1
Ashburton	11/13/1954	Glassey G	LAB	4647	0
Ashburton	11/13/1954	Morton RH	SC	1303	0
Ashburton	11/30/1957	Gerard RG	NAT	7874	1
Ashburton	11/30/1957	Glassey G	LAB	6105	0
Ashburton	11/30/1957	Morton RH	SC	559	0
Ashburton	11/26/1960	Gerard RG	NAT	8094	1
Ashburton	11/26/1960	Glassey G	LAB	5536	0
Ashburton	11/26/1960	Hayes MJ	SC	948	0
Ashburton	11/30/1963	Gerard RG	NAT	8986	1
Ashburton	11/30/1963	Braddick AG	LAB	5567	0
Ashburton	11/30/1963	Barwood AG	SC	1552	0
Ashburton	11/26/1966	Talbot RLG	NAT	7462	1
Ashburton	11/26/1966	Srhoy AJ	LAB	6479	0
Ashburton	11/26/1966	Barwood AW	SC	2054	0
Ashburton	11/29/1969	McLachlan CCA	NAT	9110	1
Ashburton	11/29/1969	Srhoy AJ	LAB	6520	0
Ashburton	11/29/1969	Lisle IC	SC	679	0
Ashburton	11/29/1969	Taylor TFM	CP	505	0
Ashburton	11/29/1969	Bray WB	I	99	0
Ashburton	11/25/1978	Talbot RLG	NAT	10478	1
Ashburton	11/25/1978	Srhoy AJ	LAB	7473	0
Ashburton	11/25/1978	Dow FI	SC	2765	0
Ashburton	11/25/1978	Mold Ms ME	V	271	0
Ashburton	11/28/1981	Talbot RLG	NAT	10527	1
Ashburton	11/28/1981	Srhoy AJ	LAB	6872	0
Ashburton	11/28/1981	Dow FI	SC	3899	0
Ashburton	7/14/1984	Talbot RLG	NAT	9348	1
Ashburton	7/14/1984	Stone G	LAB	8876	0
Ashburton	7/14/1984	Simpson JMcG	NZP	2294	0
Ashburton	7/14/1984	Dow FI	SC	824	0
Ashburton	7/14/1984	Luck JS	V	72	0
Ashburton	8/15/1987	Shipley Ms JM	NAT	12008	1
Ashburton	8/15/1987	Maxwell IA	LAB	7073	0
Ashburton	8/15/1987	Moskovis B	DEM	523	0
Ashburton	8/15/1987	McDonald Ms KE	IBC	153	0
Auckland Central	11/27/1946	Anderon WT	LAB	6865	1
Auckland Central	11/27/1946	Gotz FLAA	NAT	3387	0
Auckland Central	11/30/1949	Anderton WT	LAB	5863	1
Auckland Central	11/30/1949	Bradley LG	NAT	3064	0
Auckland Central	11/30/1949	Mitchell JJ	C	237	0
Auckland Central	11/30/1949	Jones HK	I	73	0
Auckland Central	9/1/1951	Anderton WT	LAB	5097	1
Auckland Central	9/1/1951	Hillyer PG	NAT	2929	0
Auckland Central	9/1/1951	Mitchell JJ	C	135	0
Auckland Central	11/13/1954	Anderton WT	LAB	7493	1
Auckland Central	11/13/1954	Stewart JW	NAT	3400	0
Auckland Central	11/13/1954	Gilbert AH	SC	681	0
Auckland Central	11/13/1954	Wilcox VG	C	173	0
Auckland Central	11/30/1957	Anderton WT	LAB	9144	1
Auckland Central	11/30/1957	Joyce Miss AA	NAT	5288	0
Auckland Central	11/30/1957	Liddle LB	SC	768	0
Auckland Central	11/26/1960	Douglas NV	LAB	6915	1
Auckland Central	11/26/1960	Presland RJ	NAT	5069	0
Auckland Central	11/26/1960	Liddle LB	SC	586	0
Auckland Central	11/26/1960	McAra PWG	C	164	0
Auckland Central	11/30/1963	Douglas NV	LAB	7727	1
Auckland Central	11/30/1963	Steven WJ	NAT	4500	0
Auckland Central	11/30/1963	Rickard M	SC	563	0
Auckland Central	11/30/1963	Hannay DA	LIB	273	0
Auckland Central	11/30/1963	Wolf RC	C	155	0
Auckland Central	11/26/1966	Douglas NV	LAB	6103	1
Auckland Central	11/26/1966	Quinn MB	NAT	3541	0
Auckland Central	11/26/1966	Burke JR	SC	1043	0
Auckland Central	11/29/1969	Douglas NV	LAB	6851	1
Auckland Central	11/29/1969	Edwards WC	NAT	5727	0
Auckland Central	11/29/1969	Guildford DB	SC	507	0
Auckland Central	11/29/1969	Gager OJ	IL	164	0
Auckland Central	11/29/1969	James Mrs EMP	WIP	130	0
Auckland Central	11/29/1969	Hegman RG	C	50	0
Auckland Central	11/25/1972	Douglas WV	LAB	7105	1
Auckland Central	11/25/1972	Edwards WC	NAT	5096	0
Auckland Central	11/25/1972	Hopkinson D	V	878	0
Auckland Central	11/25/1972	Donovan AR	SC	767	0
Auckland Central	11/25/1972	Ingham GF	IL	101	0
Auckland Central	11/25/1972	Pinkney M	ND	53	0
Auckland Central	11/29/1975	Prebble RW	LAB	6506	1
Auckland Central	11/29/1975	McCully MS	NAT	6217	0
Auckland Central	11/29/1975	Clough RC	V	1939	0
Auckland Central	11/29/1975	Donovan AR	SC	410	0
Auckland Central	11/29/1975	Weal TK	CD	172	0
Auckland Central	11/29/1975	Mulrennan Mrs BM	SA	46	0
Auckland Central	11/29/1975	Blakeborough PA	LIB	37	0
Auckland Central	11/29/1975	Shaw BJ	ILT	35	0
Auckland Central	11/25/1978	Prebble RW	LAB	9603	1
Auckland Central	11/25/1978	Cole Mrs MT	NAT	4319	0
Auckland Central	11/25/1978	Hine MJ	SC	1683	0
Auckland Central	11/25/1978	Langton KC	V	704	0
Auckland Central	11/25/1978	Shaw BJ	IL	65	0
Auckland Central	11/25/1978	Mulrennan Mrs BM	SA	62	0
Auckland Central	11/28/1981	Prebble RW	LAB	10952	1
Auckland Central	11/28/1981	Reid RD	NAT	4338	0
Auckland Central	11/28/1981	Sheppard BR	SC	2401	0
Auckland Central	11/28/1981	Terreni VLB	CU	208	0
Auckland Central	7/14/1984	Prebble RW	LAB	12522	1
Auckland Central	7/14/1984	Eardly-Wilmot M	AT	3646	0
Auckland Central	7/14/1984	Sapsford MA	NZP	2571	0
Auckland Central	7/14/1984	Andrews IC	SC	751	0
Auckland Central	7/14/1984	Cotman Lp	NZWP	253	0
Auckland Central	7/14/1984	Cowan CD	V	208	0
Auckland Central	7/14/1984	Terreni VLBM	CU	95	0
Auckland Central	8/15/1987	Prebble RW	LAB	11259	1
Auckland Central	8/15/1987	Mayer SJ	NAT	3904	0
Auckland Central	8/15/1987	Jesson Ms JG	LA	1090	0
Auckland Central	8/15/1987	Jordan BA	DEM	459	0
Auckland Central	8/15/1987	Bickley H	I	262	0
Auckland Central	8/15/1987	Terreni VLBM	MS	172	0
Auckland Central	8/15/1987	Dunn AC	NZP	109	0
Avon	11/27/1946	Sullivan DG	LAB	9539	1
Avon	11/27/1946	McDowell RA	NAT	4359	0
Avon	5/28/1947	Mathison J	LAB	8513	1
Avon	5/28/1947	McDowell RA	NAT	4422	0
Avon	5/28/1947	Robertson JR	I	100	0
Avon	11/30/1949	Mathison J	LAB	9877	1
Avon	11/30/1949	Kinzett GW	NAT	5284	0
Avon	9/1/1951	Mathison J	LAB	10001	1
Avon	9/1/1951	Russell DW	NAT	5789	0
Avon	11/13/1954	Mathison J	LAB	7919	1
Avon	11/13/1954	Stone AN	NAT	2964	0
Avon	11/13/1954	Stevens FW	SC	2694	0
Avon	11/30/1957	Mathison J	LAB	9743	1
Avon	11/30/1957	Olds WE	NAT	3643	0
Avon	11/30/1957	Cullen CE	SC	1049	0
Avon	11/26/1960	Mathison J	LAB	8683	1
Avon	11/26/1960	Pickering HEL	NAT	4467	0
Avon	11/26/1960	Edmonds GM	SC	1973	0
Avon	11/26/1960	McNulty FE	C	126	0
Avon	11/30/1963	Mathison J	LAB	9095	1
Avon	11/30/1963	Dodwell SL	NAT	3978	0
Avon	11/30/1963	Parking H	SC	1544	0
Avon	11/30/1963	Blacklock R	C	145	0
Avon	11/26/1966	Mathison J	LAB	9069	1
Avon	11/26/1966	Dawson JR	NAT	3837	0
Avon	11/26/1966	Barrow IWW	SC	2515	0
Avon	11/29/1969	Mathison J	LAB	9389	1
Avon	11/29/1969	Ansel AE	NAT	3789	0
Avon	11/29/1969	Barrow IWW	SC	1256	0
Avon	11/29/1969	Locke JC	C	92	0
Avon	11/25/1972	Batcheor Mrs MD	LAB	10013	1
Avon	11/25/1972	Thomas GV	NAT	3958	0
Avon	11/25/1972	Barrow IWW	SC	1200	0
Avon	11/25/1972	Thelning Mrs RH	ND	101	0
Avon	11/29/1975	Batchelor Mrs MD	LAB	10395	1
Avon	11/29/1975	George TP	NAT	4892	0
Avon	11/29/1975	Clarkson RS	V	1140	0
Avon	11/29/1975	Barrow IWW	SC	1067	0
Avon	11/25/1978	Batchelor Mrs MD	LAB	11972	1
Avon	11/25/1978	Geroge TP	NAT	3757	0
Avon	11/25/1978	Barrow IWW	SC	2335	0
Avon	11/25/1978	Clarkson RS	V	399	0
Avon	11/25/1978	MacGregor Mrs LA	SA	20	0
Avon	11/28/1981	Batchelor Mrs MD	LAB	11500	1
Avon	11/28/1981	McNichol CM	NAT	3880	0
Avon	11/28/1981	Barrow IWW	SC	3557	0
Avon	11/28/1981	Costello ID	W	95	0
Avon	7/14/1984	Batchelor Mrs MD	LAB	11838	1
Avon	7/14/1984	Cowie AP	NAT	4067	0
Avon	7/14/1984	Groufsky RA	NZP	2701	0
Avon	7/14/1984	Morgan WF	SC	941	0
Avon	7/14/1984	Anker Mrs DW	V	180	0
Avon	8/15/1987	Sutherland LW	LAB	11585	1
Avon	8/15/1987	Rush Ms W	NAT	5263	0
Avon	8/15/1987	Stevens Ms SA	DEM	1065	0
Avon	8/15/1987	Costello ID	W	205	0
Awarua	11/27/1946	Herron GR	NAT	7651	1
Awarua	11/27/1946	Mitchell GGM	LAB	5063	0
Awarua	11/30/1949	Herron GR	NAT	7997	1
Awarua	11/30/1949	Pickering NG	LAB	4818	0
Awarua	9/1/1951	Herron GR	NAT	8121	1
Awarua	9/1/1951	Pickering NG	LAB	4366	0
Awarua	11/13/1954	Herron GR	NAT	6857	1
Awarua	11/13/1954	Wyatt JP	LAB	3685	0
Awarua	11/13/1954	Anderson W	SC	2632	0
Awarua	11/30/1957	Grieve GG	NAT	6746	1
Awarua	11/30/1957	Wyatt JP	LAB	5110	0
Awarua	11/30/1957	Anderson W	SC	1277	0
Awarua	11/26/1960	Grieve GG	NAT	7772	1
Awarua	11/26/1960	Wyatt JP	LAB	4772	0
Awarua	11/26/1960	McNaughton D	SC	1117	0
Awarua	11/30/1963	Grieve GG	NAT	7869	1
Awarua	11/30/1963	Valentine LN	LAB	4496	0
Awarua	11/30/1963	McNaughton D	SC	1194	0
Awarua	11/30/1963	Egerton RJ	LIB	691	0
Awarua	11/26/1966	Grieve GG	NAT	7033	1
Awarua	11/26/1966	Booker ME	LIB	3811	0
Awarua	11/26/1966	McNaughton D	SC	3209	0
Awarua	11/29/1969	Templeton HC	NAT	6608	1
Awarua	11/29/1969	Begg AW	LAB	5702	0
Awarua	11/29/1969	McNaughton D	SC	2073	0
Awarua	11/25/1972	Begg AW	LAB	7056	1
Awarua	11/25/1972	Templeton HC	NAT	6333	0
Awarua	11/25/1972	Horton OW	SC	1017	0
Awarua	11/25/1972	Cuttance JA	LR	111	0
Awarua	11/25/1972	Guytonbeck PJ	ND	39	0
Awarua	11/29/1975	Austin WR	NAT	8802	1
Awarua	11/29/1975	Begg AW	LAB	6652	0
Awarua	11/29/1975	O'Connell RJ	SC	1542	0
Awarua	11/29/1975	Boniface ND	V	371	0
Awarua	11/29/1975	Cruttwell JMR	A	5	0
Awarua	11/25/1978	Austin WR	NAT	8083	1
Awarua	11/25/1978	Devine WP	LAB	6633	0
Awarua	11/25/1978	O'Connell RJ	SC	4604	0
Awarua	11/25/1978	Hanlon RNJ	V	128	0
Awarua	11/28/1981	Austin WR	NAT	8862	1
Awarua	11/28/1981	Fitzgerald RG	LAB	6521	0
Awarua	11/28/1981	Henderson R	SC	4911	0
Awarua	7/14/1984	Austin WR	NAT	8605	1
Awarua	7/14/1984	Raitt BG	LAB	8221	0
Awarua	7/14/1984	Roy DM	NZP	1703	0
Awarua	7/14/1984	Henderson R	SC	1308	0
Awarua	8/15/1987	Grant JJ	NAT	9946	1
Awarua	8/15/1987	Simpson Ms HM	LAB	7466	0
Awarua	8/15/1987	Henderson R	DEM	1279	0
Bay of Islands	11/25/1978	Austin HN	NAT	7430	1
Bay of Islands	11/25/1978	MacPherson WG	SC	5748	0
Bay of Islands	11/25/1978	Penney ME	LAB	2935	0
Bay of Islands	11/25/1978	Woddhams DJ	V	608	0
Bay of Islands	11/28/1981	Austin HN	NAT	8387	1
Bay of Islands	11/28/1981	Hunter LW	SC	7523	0
Bay of Islands	11/28/1981	Rae AW	LAB	2528	0
Bay of Islands	11/28/1981	McLeod CL	NC	153	0
Bay of Islands	11/28/1981	Holt WA	ASC	116	0
Bay of Islands	7/14/1984	Austin HN	NAT	7211	1
Bay of Islands	7/14/1984	Hunter LW	SC	3913	0
Bay of Islands	7/14/1984	McIntyre A	LAB	3627	0
Bay of Islands	7/14/1984	Brown WFK	NZP	3615	0
Bay of Islands	7/14/1984	McVeagh JE	V	102	0
Bay of Islands	8/15/1987	Carter JMacG	NAT	8699	1
Bay of Islands	8/15/1987	Robertson CS	LAB	6576	0
Bay of Islands	8/15/1987	Stickland Ms M de	DEM	1070	0
Bay of Islands	8/15/1987	Johnson NFS	AN	430	0
Bay of Plenty	11/27/1946	Sullivan W	NAT	7549	1
Bay of Plenty	11/27/1946	Boord AR	LAB	5915	0
Bay of Plenty	11/30/1949	Sullivan W	NAT	8993	1
Bay of Plenty	11/30/1949	Santon TG	LAB	5313	0
Bay of Plenty	9/1/1951	Sullivan W	NAT	9389	1
Bay of Plenty	9/1/1951	Santon TG	LAB	5342	0
Bay of Plenty	11/13/1954	Sullivan W	NAT	6928	1
Bay of Plenty	11/13/1954	Santon TG	LAB	3866	0
Bay of Plenty	11/13/1954	Blaymires JN	SC	1434	0
Bay of Plenty	4/6/1957	Allen PB	NAT	5290	1
Bay of Plenty	4/6/1957	Santon TG	LAB	4091	0
Bay of Plenty	4/6/1957	Pedley RJ	LIB	417	0
Bay of Plenty	11/30/1957	Allen PB	NAT	6290	1
Bay of Plenty	11/30/1957	Santon TG	LAB	5380	0
Bay of Plenty	11/30/1957	Baymires JN	SC	935	0
Bay of Plenty	11/26/1960	Allen PB	NAT	6920	1
Bay of Plenty	11/26/1960	Riden PE	LAB	4509	0
Bay of Plenty	11/26/1960	Knox Mrs AE	SC	1334	0
Bay of Plenty	11/30/1963	Allen PB	NAT	7606	1
Bay of Plenty	11/30/1963	Riden PE	LAB	4581	0
Bay of Plenty	11/30/1963	Knox Mrs AE	SC	1529	0
Bay of Plenty	11/26/1966	Allen PB	NAT	7188	1
Bay of Plenty	11/26/1966	Fischer LT	LAB	3522	0
Bay of Plenty	11/26/1966	Knox Mrs AE	SC	2749	0
Bay of Plenty	11/29/1969	Allen PB	NAT	8132	1
Bay of Plenty	11/29/1969	Kelly BR	LAB	4692	0
Bay of Plenty	11/29/1969	Knox Mrs AE	SC	2046	0
Bay of Plenty	11/25/1972	Allen PB	NAT	8270	1
Bay of Plenty	11/25/1972	Mead GB	LAB	6090	0
Bay of Plenty	11/25/1972	O'Halla LK	SC	1266	0
Bay of Plenty	11/25/1972	Knox Mrs AE	ND	478	0
Bay of Plenty	11/29/1975	MacIntyre D	NAT	10203	1
Bay of Plenty	11/29/1975	McKee RF	LAB	6243	0
Bay of Plenty	11/29/1975	Blaymires CA	SC	1817	0
Bay of Plenty	11/29/1975	South MW	V	918	0
Birkenhead	11/29/1969	King NJ	LAB	9623	1
Birkenhead	11/29/1969	McKinnon DC	NAT	7922	0
Birkenhead	11/29/1969	Neill JR	SC	1236	0
Birkenhead	11/25/1972	King NJ	LAB	8213	1
Birkenhead	11/25/1972	McKinnon DC	NAT	6680	0
Birkenhead	11/25/1972	Thew G	SC	904	0
Birkenhead	11/25/1972	Quaill AJ	V	642	0
Birkenhead	11/25/1972	Inkster LS	ND	47	0
Birkenhead	11/29/1975	McLay JK	NAT	10871	1
Birkenhead	11/29/1975	King NJ	LAB	8055	0
Birkenhead	11/29/1975	Tomes RJ	V	1253	0
Birkenhead	11/29/1975	Thew G	SC	907	0
Birkenhead	11/29/1975	Hardie NJ	ID	14	0
Birkenhead	11/25/1978	McLay JK	NAT	9350	1
Birkenhead	11/25/1978	Stanton LR	LAB	6816	0
Birkenhead	11/25/1978	Long DG	SC	2583	0
Birkenhead	11/25/1978	Wargeant EK	V	480	0
Birkenhead	11/28/1981	McLay JK	NAT	9672	1
Birkenhead	11/28/1981	Smith HW	LAB	7568	0
Birkenhead	11/28/1981	Adair MW	SC	3552	0
Birkenhead	7/14/1984	McLay JK	NAT	9547	1
Birkenhead	7/14/1984	Course JET	LAB	7830	0
Birkenhead	7/14/1984	Pearce Ms J	NZP	3761	0
Birkenhead	7/14/1984	Sheppard BR	SC	618	0
Birkenhead	8/15/1987	Kirk Ms JN	LAB	11063	1
Birkenhead	8/15/1987	Gustafson BS	NAT	8843	0
Birkenhead	8/15/1987	Midson RG	DEM	397	0
Birkenhead	8/15/1987	Yeoman ER	NZP	186	0
Birkenhead	8/15/1987	Fraser DIMacG	LB	110	0
Brooklyn	11/27/1946	Fraser P	LAB	8216	1
Brooklyn	11/27/1946	Hardy S	NAT	4281	0
Brooklyn	11/30/1949	Fraser P	LAB	7176	1
Brooklyn	11/30/1949	Burns Mrs BS	NAT	4220	0
Brooklyn	11/30/1949	Birchfield Mrs C	C	241	0
Brooklyn	2/17/1951	Nordmeyer AH	LAB	5287	1
Brooklyn	2/17/1951	Jacobsen LT	NAT	2902	0
Brooklyn	2/17/1951	Birchfield Mrs C	C	129	0
Brooklyn	9/1/1951	Nordmeyer AH	LAB	6375	1
Brooklyn	9/1/1951	Clift CW	NAT	4549	0
Buller	11/27/1946	Skinner CF	LAB	8211	1
Buller	11/27/1946	McDonald PE	NAT	5299	0
Buller	11/30/1949	Skinner CF	LAB	7941	1
Buller	11/30/1949	McDonald PE	NAT	5735	0
Buller	9/1/1951	Skinner CF	LAB	7215	1
Buller	9/1/1951	McDonald PE	NAT	5988	0
Buller	11/13/1954	Skinner CF	LAB	7559	1
Buller	11/13/1954	Carson DM	NAT	4211	0
Buller	11/13/1954	Eggleston WT	SC	1319	0
Buller	11/30/1957	Skinner CF	LAB	7563	1
Buller	11/30/1957	Bensenmann NL	NAT	4886	0
Buller	11/30/1957	Matthews PH	SC	1357	0
Buller	11/26/1960	Skinner CF	LAB	6380	1
Buller	11/26/1960	King EW	NAT	4834	0
Buller	11/26/1960	Matthews PH	SC	1984	0
Buller	11/26/1960	Bergh OG	I	210	0
Buller	7/7/1962	Rowling WE	LAB	5242	1
Buller	7/7/1962	King EW	NAT	4846	0
Buller	7/7/1962	Matthews PH	SC	1566	0
Buller	11/30/1963	Rowling WE	LAB	7338	1
Buller	11/30/1963	King EW	NAT	5667	0
Buller	11/30/1963	Wells E	SC	1033	0
Buller	11/26/1966	Rowling WE	LAB	6510	1
Buller	11/26/1966	King EW	NAT	4688	0
Buller	11/26/1966	Dogier WPB	SC	2286	0
Buller	11/29/1969	Rowling WE	LAB	8319	1
Buller	11/29/1969	King EW	NAT	5497	0
Buller	11/29/1969	Hodgkinson DL	SC	1774	0
Christchurch Central	11/27/1946	MacFarlane RM	LAB	8300	1
Christchurch Central	11/27/1946	Wills AJ	NAT	3880	0
Christchurch Central	11/27/1946	Ostler A	C	302	0
Christchurch Central	11/30/1949	MacFarlane RM	LAB	7589	1
Christchurch Central	11/30/1949	Marlow KJ	NAT	3952	0
Christchurch Central	11/30/1949	Ostler A	C	218	0
Christchurch Central	9/1/1951	MacFarlane RM	LAB	6901	1
Christchurch Central	9/1/1951	Schmacher Mrs A	NAT	4103	0
Christchurch Central	11/13/1954	MacFarlane RM	LAB	7345	1
Christchurch Central	11/13/1954	Moody OG	NAT	3950	0
Christchurch Central	11/13/1954	Willyams AE	SC	2185	0
Christchurch Central	11/13/1954	Ostler A	C	137	0
Christchurch Central	11/30/1957	MacFarlane RM	LAB	8763	1
Christchurch Central	11/30/1957	McLachlan CCA	NAT	4692	0
Christchurch Central	11/30/1957	Campbell WJ	SC	811	0
Christchurch Central	11/30/1957	Locke JC	C	153	0
Christchurch Central	11/26/1960	MacFarlane RM	LAB	6786	1
Christchurch Central	11/26/1960	Flint TD	NAT	4851	0
