Date	Electorate	Electorate #	Name	Party	Votes	Elected
10/12/1996	Albany	1	"THOMAS, Marilyn"	ACT NZ	1820	0
10/12/1996	Albany	1	"McConachy, Heather Ann"	Alliance	4621	0
10/12/1996	Albany	1	"Phillips, Judith"	Christian Coalition	942	0
10/12/1996	Albany	1	"Hutchinson, Colin"	Labour Party	3753	0
10/12/1996	Albany	1	"Nevin, Tina"	McGillicuddy Serious	283	0
10/12/1996	Albany	1	"Hopwood, Tom"	Natural Law	82	0
10/12/1996	Albany	1	"Heffernan, Terry"	NZF	5992	0
10/12/1996	Albany	1	"McCully, Murray"	National	17639	1
10/12/1996	Albany	1	"Allen, Miles"	Greens	389	0
10/12/1996	Aoraki	2	"Bloxham, Jenny"		4595	0
10/12/1996	Aoraki	2	"Boag, Stuart"		10606	0
10/12/1996	Aoraki	2	"Cone, Alan"		531	0
10/12/1996	Aoraki	2	"Donovan, Robin"		635	0
10/12/1996	Aoraki	2	"Sutton, Jim"		13538	1
10/12/1996	Aoraki	2	"Van der Werf, Royal"		75	0
10/12/1996	Aoraki	2	"Verity, Rex"		3021	0
10/12/1996	Auckland Central	3	"BOOMERT, LAURENCE"		326	0
10/12/1996	Auckland Central	3	"BRADY, CHRIS"		139	0
10/12/1996	Auckland Central	3	"BRYERS, VICTOR"		7	0
10/12/1996	Auckland Central	3	"DE JONGE, PIETER"		27	0
10/12/1996	Auckland Central	3	"FRITH, SHANE"		7462	0
10/12/1996	Auckland Central	3	"HIDE, RODNEY"		1848	0
10/12/1996	Auckland Central	3	"LEE, SANDRA"		8866	0
10/12/1996	Auckland Central	3	"LE LIEVRE, ADAM JOSEPH"		10	0
10/12/1996	Auckland Central	3	"PATERSON, BARRIE"		398	0
10/12/1996	Auckland Central	3	"RAMSDEN, ALISTAIR CLIFFORD"		226	0
10/12/1996	Auckland Central	3	"REEVES, SIMON"		175	0
10/12/1996	Auckland Central	3	"ROBERTSON, LYNNE"		13	0
10/12/1996	Auckland Central	3	"SUTTON, DUANE E"		7	0
10/12/1996	Auckland Central	3	"TIZARD, JUDITH NGAIRE"		12219	1
10/12/1996	Auckland Central	3	"WATTS, MARK"		108	0
