Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Arch Hull	11/27/1946	Parry WE	Labour	9558	1	8
Arch Hull	11/27/1946	Clark EJ	National	2973	0	0
Arch Hull	11/27/1946	Wilcox VG	C	534	0	0
Ashburton	11/27/1946	Gerard RG	National	7386	1	1
Ashburton	11/27/1946	Newlands A	Labour	5933	0	0
Auckland Central	11/27/1946	Anderton WT	Labour	6865	1	3
Auckland Central	11/27/1946	Gotz Leon	National	3387	0	0
Avon	11/27/1946	Sullivan DG	Labour	9539	1	8
Avon	11/27/1946	McDowell RA	National	4359	0	0
Awarua	11/27/1946	Herron GR	National	7651	1	1
Awarua	11/27/1946	Mitchell GGM	Labour	5063	0	0
Bay of Plenty	11/27/1946	Sullivan W	National	7549	1	2
Bay of Plenty	11/27/1946	Boord AR	Labour	5915	0	0
Brooklyn	11/27/1946	Fraser P	Labour	8216	1	9
Brooklyn	11/27/1946	Hardy S	National	4281	0	0
Buller	11/27/1946	Skinner CF	Labour	8211	1	2
Buller	11/27/1946	McDonald PE	National	5299	0	0
Christchurch Central	11/27/1946	MacFarlane RM	Labour	8300	1	2
Christchurch Central	11/27/1946	Wills AJ	National	3880	0	0
Christchurch Central	11/27/1946	Ostler A	C	302	0	0
Clutha	11/27/1946	Roy James	National	7656	1	3
Clutha	11/27/1946	Thompson JP	Labour	5516	0	0
Dunedin Central	11/27/1946	Connolly PG	Labour	7633	1	1
Dunedin Central	11/27/1946	Sidey TKS	National	5633	0	0
Dunedin North	11/27/1946	Walls R	Labour	7487	1	1
Dunedin North	11/27/1946	Jones NH	National	6217	0	0
Eastern Maori	11/27/1946	Omana T	Labour	7321	1	1
Eastern Maori	11/27/1946	Ngata Apirana	National	5804	0	0
Eden	11/27/1946	Fortune WH	National	7055	1	0
Eden	11/27/1946	Freer WW	Labour	5774	0	0
Egmont	11/27/1946	Corbett EB	National	8135	1	1
Egmont	11/27/1946	Parker CR	Labour	4737	0	0
Fendalton	11/27/1946	Holland SG	National	8065	1	3
Fendalton	11/27/1946	Williams AG	Labour	5061	0	0
Franklin	11/27/1946	Massey JN	National	8545	1	2
Franklin	11/27/1946	Gunn ADJ	Labour	4522	0	0
Gisborne	11/27/1946	Coleman DW	Labour	8240	1	4
Gisborne	11/27/1946	Barker HH	National	6225	0	0
Grey Lynn	11/27/1946	Hackett F	Labour	9537	1	1
Grey Lynn	11/27/1946	Barry HG	National	3627	0	0
Hamilton	11/27/1946	Ross GH	National	6778	1	1
Hamilton	11/27/1946	Glanville JJ	Labour	6451	0	0
Hastings	11/27/1946	Cullen EL	Labour	7292	1	3
Hastings	11/27/1946	Pryor EN	National	6809	0	0
Hauraki	11/27/1946	Sutherland AS	National	7968	1	2
Hauraki	11/27/1946	Neate W	Labour	5077	0	0
Hawkes Bay	11/27/1946	Harker CGE	National	7755	1	2
Hawkes Bay	11/27/1946	Beattie HE	Labour	5741	0	0
Hobson	11/27/1946	Smith SW	National	8496	1	1
Hobson	11/27/1946	Hatrick HK	Labour	4916	0	0
Hurunui	11/27/1946	Gillespie WH	National	7121	1	1
Hurunui	11/27/1946	Mathison J	Labour	5681	0	0
Hutt	11/27/1946	Nash W	Labour	8025	1	5
Hutt	11/27/1946	Vogel EF	National	5438	0	0
Hutt	11/27/1946	Laing G	IL	163	0	0
Hutt	11/27/1946	Simpson TF	US	50	0	0
Invercargill	11/27/1946	Hanan JR	National	7315	1	0
Invercargill	11/27/1946	Denham WMC	Labour	7091	0	3
Island Bay	11/27/1946	McKeen R	Labour	8290	1	7
Island Bay	11/27/1946	Childs HE	National	4332	0	0
Island Bay	11/27/1946	Berg BK	C	345	0	0
Karori	11/27/1946	Bowden CM	National	7776	1	1
Karori	11/27/1946	McGavin PCP	Labour	5734	0	0
Lyttelton	11/27/1946	McCombs TH	Labour	7862	1	4
Lyttelton	11/27/1946	Taylor EBE	National	6319	0	0
Manawatu	11/27/1946	Oram MH	National	7562	1	1
Manawatu	11/27/1946	Holloway PN	Labour	5095	0	0
Marlborough	11/27/1946	Shand TP	National	6935	1	0
Marlborough	11/27/1946	Meachen EP	Labour	6756	0	3
Marsden	11/27/1946	Murdoch AJ	National	7851	1	1
Marsden	11/27/1946	Stewart JS	Labour	5702	0	0
Miramar	11/27/1946	Semple R	Labour	8064	1	5
Miramar	11/27/1946	Jacobsen LT	National	5582	0	0
Mornington	11/27/1946	Hudson WA	Labour	9372	1	0
Mornington	11/27/1946	Mclver LD	National	4691	0	0
Mount Victoria	11/27/1946	Marshall JR	National	6520	1	0
Mount Victoria	11/27/1946	Casey E	Labour	5609	0	0
Mount Victoria	11/27/1946	Parry JTLH	I PL	152	0	0
Mt Albert	11/27/1946	Richards AS	Labour	7681	1	4
Mt Albert	11/27/1946	Hosking FA	National	5824	0	0
