"ID","name","exitDate","needGhostRow","termsServed","Party"
1,"Parry WE","1949-11-30",1,9,"Labour"
4,"Gerard RG","1963-11-30",1,7,"National"
6,"Anderton WT","1957-11-30",1,7,"Labour"
8,"Sullivan DG","1946-11-27",1,8,"Labour"
10,"Herron GR","1954-11-13",1,4,"National"
12,"Sullivan W","1954-11-13",1,5,"National"
14,"Fraser P","1949-11-30",1,10,"Labour"
16,"Skinner CF","1960-11-26",1,7,"Labour"
18,"MacFarlane RM","1966-11-26",1,9,"Labour"
21,"Roy JAMcL","1957-11-30",1,7,"National"
23,"Connolly PG","1960-11-26",1,6,"Labour"
25,"Walls R","1951-09-01",1,3,"Labour"
27,"Omana T","1960-11-26",1,6,"Labour"
30,"Freer WW","1978-11-25",1,11,"Labour"
31,"Corbett EB","1954-11-13",1,4,"National"
33,"Holland SG","1954-11-13",1,6,"National"
35,"Massey JN","1954-11-13",1,5,"National"
37,"Coleman DW","1946-11-27",1,4,"Labour"
39,"Hackett F","1960-11-26",1,6,"Labour"
41,"Ross Hilda","1957-11-30",1,5,"National"
45,"Sutherland AS","1951-09-01",1,4,"National"
47,"Harker CGE","1960-11-26",1,7,"National"
49,"Smith SW","1957-11-30",1,5,"National"
51,"Gillespie WH","1960-11-26",1,6,"National"
52,"Mathison J","1969-11-29",1,8,"Labour"
53,"Nash Walter","1966-11-26",1,12,"Labour"
57,"Hanan JR","1966-11-26",1,7,"National"
59,"McKeen R","1951-09-01",1,9,"Labour"
62,"Bowden CM","1951-09-01",1,3,"National"
66,"Oram Matthew","1954-11-13",1,4,"National"
70,"Murdoch AJ","1951-09-01",1,3,"National"
72,"Semple R","1951-09-01",1,7,"Labour"
74,"Hudson WA","1960-11-26",1,5,"Labour"
76,"Marshall JR","1972-11-25",1,9,"National"
79,"Richards AS","1946-11-27",1,4,"Labour"
83,"Neale ER","1954-11-13",1,3,"National"
85,"Aderman EP","1963-11-30",1,7,"National"
89,"Paikea TP","1960-11-26",1,6,"Labour"
92,"Nordmeyer AH","1966-11-26",1,6,"Labour"
95,"Osborne AG","1951-09-01",1,5,"Labour"
97,"Combs HE","1951-09-01",1,4,"Labour"
99,"Bodkin WA","1951-09-01",1,8,"National"
101,"Petrie CR","1946-11-27",1,3,"Labour"
103,"Maher JJ","1957-11-30",1,4,"National"
105,"Holyoake Keith","1975-11-29",1,11,"National"
109,"Rae J","1969-11-29",1,8,"National"
111,"Sheat WA","1954-07-31",1,4,"I"
113,"Moohan M","1966-11-26",1,7,"Labour"
115,"Goosman WS","1960-11-26",1,7,"National"
117,"MacDonald RL","1966-11-26",1,7,"Labour"
120,"Johnstone H","1960-11-26",1,4,"National"
121,"Gordon EBK","1951-09-01",1,4,"National"
123,"Algie RM","1963-11-30",1,7,"National"
125,"McLagan A","1954-11-13",1,3,"Labour"
127,"Webb TC","1951-09-01",1,3,"National"
131,"McAlpine JK","1963-11-30",1,6,"National"
133,"Tirikatene TWM","1967-03-11",1,12,"Labour"
135,"Watts JT","1957-11-30",1,5,"National"
139,"Howard MB","1966-11-26",1,9,"Labour"
143,"Doidge FW","1949-11-30",1,3,"National"
145,"Carr CL","1960-11-26",1,10,"Labour"
147,"Sim GF","1963-11-30",1,7,"National"
149,"Kearins PR","1951-09-01",1,2,"Labour"
151,"Kidd DC","1951-09-01",1,4,"National"
153,"Mackley GH","1946-11-27",1,1,"National"
155,"Mason HGR","1963-11-30",1,12,"Labour"
158,"Broadfoot WJ","1951-09-01",1,7,"National"
160,"MacDonald TL","1954-11-13",1,5,"National"
163,"Chapman CH","1951-09-01",1,7,"Labour"
168,"O'Brien J","1946-11-27",1,4,"Labour"
