"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
1,"Parry WE","1951-09-01",0,0,0,0,10,"Labour",0
4,"Gerard RG","1966-11-26",0,1,0,0,8,"National",1
6,"Anderton WT","1960-11-26",0,0,0,0,8,"Labour",1
8,"Sullivan DG","1949-11-30",0,1,0,0,9,"Labour",1
10,"Herron GR","1957-11-30",0,0,0,0,5,"National",1
12,"Sullivan W","1957-11-30",0,1,0,0,6,"National",1
14,"Fraser P","1951-09-01",0,1,1,1,11,"Labour",0
16,"Skinner CF","1963-11-30",0,1,0,0,8,"Labour",0
18,"MacFarlane RM","1969-11-29",0,0,0,0,10,"Labour",0
21,"Roy JAMcL","1960-11-26",0,0,0,0,8,"National",0
23,"Connolly PG","1963-11-30",0,1,1,0,7,"Labour",0
25,"Walls R","1954-11-13",0,0,0,0,4,"Labour",0
27,"Omana T","1963-11-30",0,0,0,0,7,"Labour",0
30,"Freer WW","1981-11-28",0,0,0,0,12,"Labour",0
31,"Corbett EB","1957-11-30",0,1,0,0,5,"National",1
33,"Holland SG","1957-11-30",0,1,1,1,7,"National",1
35,"Massey JN","1957-11-30",0,0,0,0,6,"National",1
37,"Coleman DW","1949-11-30",0,0,0,0,5,"Labour",1
39,"Hackett F","1963-11-30",0,1,0,0,7,"Labour",0
41,"Ross Hilda","1960-11-26",0,1,0,0,6,"National",0
45,"Sutherland AS","1954-11-13",0,0,0,0,5,"National",1
47,"Harker CGE","1963-11-30",0,0,0,0,8,"National",1
49,"Smith SW","1960-11-26",0,1,0,0,6,"National",0
51,"Gillespie WH","1963-11-30",0,0,0,0,7,"National",1
52,"Mathison J","1972-11-25",0,0,0,0,9,"Labour",0
53,"Nash Walter","1969-11-29",0,0,0,0,13,"Labour",0
57,"Hanan JR","1969-11-29",0,1,1,0,8,"National",1
59,"McKeen R","1954-11-13",0,0,0,0,10,"Labour",0
62,"Bowden CM","1954-11-13",0,1,0,0,4,"National",1
66,"Oram Matthew","1957-11-30",0,0,0,0,5,"National",1
70,"Murdoch AJ","1954-11-13",0,0,0,0,4,"National",1
72,"Semple R","1954-11-13",0,0,0,0,8,"Labour",0
74,"Hudson WA","1963-11-30",0,0,0,0,6,"Labour",0
76,"Marshall JR","1975-11-29",0,1,1,1,10,"National",0
79,"Richards AS","1949-11-30",0,0,0,0,5,"Labour",1
83,"Neale ER","1957-11-30",0,0,0,0,4,"National",1
85,"Aderman EP","1966-11-26",0,0,0,0,8,"National",1
89,"Paikea TP","1963-11-30",0,0,0,0,7,"Labour",0
92,"Nordmeyer AH","1969-11-29",0,0,0,0,7,"Labour",0
95,"Osborne AG","1954-11-13",0,0,0,0,6,"Labour",0
97,"Combs HE","1954-11-13",0,0,0,0,5,"Labour",0
99,"Bodkin WA","1954-11-13",0,1,0,0,9,"National",1
101,"Petrie CR","1949-11-30",0,0,0,0,4,"Labour",1
103,"Maher JJ","1960-11-26",0,0,0,0,5,"National",0
105,"Holyoake Keith","1978-11-25",0,0,0,0,12,"National",1
109,"Rae J","1972-11-25",0,1,0,0,9,"National",1
111,"Sheat WA","1954-11-13",0,0,0,0,5,"I",0
113,"Moohan M","1969-11-29",0,0,0,0,8,"Labour",0
115,"Goosman WS","1963-11-30",0,0,0,0,8,"National",1
117,"MacDonald RL","1969-11-29",0,0,0,0,8,"Labour",0
120,"Johnstone H","1963-11-30",0,0,0,0,5,"National",1
121,"Gordon EBK","1954-11-13",0,0,0,0,5,"National",1
123,"Algie RM","1966-11-26",0,0,0,0,8,"National",1
125,"McLagan A","1957-11-30",0,0,0,0,4,"Labour",0
127,"Webb TC","1954-11-13",0,1,1,0,4,"National",1
131,"McAlpine JK","1966-11-26",0,1,0,0,7,"National",1
133,"Tirikatene TWM","1969-11-29",0,0,0,0,13,"Labour",0
135,"Watts JT","1960-11-26",0,1,1,0,6,"National",0
139,"Howard MB","1969-11-29",0,0,0,0,10,"Labour",0
143,"Doidge FW","1951-09-01",0,0,0,0,4,"National",1
145,"Carr CL","1963-11-30",0,0,0,0,11,"Labour",0
147,"Sim GF","1966-11-26",0,0,0,0,8,"National",1
149,"Kearins PR","1954-11-13",0,0,0,0,3,"Labour",0
151,"Kidd DC","1954-11-13",0,0,0,0,5,"National",1
153,"Mackley GH","1949-11-30",0,0,0,0,2,"National",0
155,"Mason HGR","1966-11-26",0,0,0,0,13,"Labour",0
158,"Broadfoot WJ","1954-11-13",0,1,0,0,8,"National",1
160,"MacDonald TL","1957-11-30",0,1,1,0,6,"National",1
163,"Chapman CH","1954-11-13",0,0,0,0,8,"Labour",0
168,"O'Brien J","1949-11-30",0,0,0,0,5,"Labour",1
170,"Cotterill JBF","1960-11-26",0,0,0,0,8,"Labour",1
174,"Kent JB","1960-11-26",0,0,0,0,5,"Labour",1
197,"Keeling RA","1963-11-30",0,0,0,0,1,"Labour",0
223,"Eyre DJ","1966-11-26",0,1,1,0,6,"National",1
226,"Hayman TL","1963-11-30",0,0,0,0,5,"National",1
232,"Tennent WB","1966-11-26",0,1,0,0,3,"National",1
242,"Watt H","1975-11-29",0,1,0,0,8,"Labour",1
243,"Lake HR","1969-11-29",0,1,1,0,3,"National",1
257,"Cooksley BV","1963-11-30",0,0,0,0,5,"National",1
263,"Ratana IM","1969-11-29",0,0,0,0,7,"Labour",0
285,"Faulkner AJ","1981-11-28",0,0,0,0,8,"Labour",0
301,"Whitehead SA","1978-11-25",0,0,0,0,7,"Labour",0
304,"Deas JM","1963-11-30",0,0,0,0,3,"Labour",0
305,"Holloway PN","1960-11-26",0,0,0,0,2,"Labour",1
318,"Walsh GA","1972-11-25",0,0,0,0,7,"National",1
328,"McMillan EE","1975-11-29",0,0,0,0,8,"Labour",1
332,"Connelly MA","1984-07-14",0,0,0,0,9,"Labour",0
372,"Kinsella AE","1969-11-29",0,1,0,0,5,"National",1
377,"McCready A","1978-11-25",0,1,1,0,6,"National",1
