"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
1,"Parry WE","Labour","1946-11-27","Arch Hull",1,8,0,0,0,0,9558,1,0,1,0,0,0
2,"Clark EJ","National","1946-11-27","Arch Hull",0,0,0,0,0,0,2973,0,0,0,0,0,0
3,"Wilcox VG","C","1946-11-27","Arch Hull",0,0,0,0,0,0,534,0,0,0,0,0,0
4,"Gerard RG","National","1946-11-27","Ashburton",1,1,0,0,0,0,7386,1,0,1,0,0,0
5,"Newlands A","Labour","1946-11-27","Ashburton",0,0,0,0,0,0,5933,0,0,0,0,0,0
6,"Anderton WT","Labour","1946-11-27","Auckland Central",1,3,0,0,0,0,6865,1,0,1,0,0,0
7,"Gotz Leon","National","1946-11-27","Auckland Central",0,0,0,0,0,0,3387,0,0,0,0,0,0
8,"Sullivan DG","Labour","1946-11-27","Avon",1,8,1,1,0,0,9539,1,0,1,0,0,0
9,"McDowell RA","National","1946-11-27","Avon",0,0,0,0,0,0,4359,0,0,0,0,0,0
10,"Herron GR","National","1946-11-27","Awarua",1,1,0,0,0,0,7651,1,0,1,0,0,0
11,"Mitchell GGM","Labour","1946-11-27","Awarua",0,0,0,0,0,0,5063,0,0,0,0,0,0
12,"Sullivan W","National","1946-11-27","Bay of Plenty",1,2,0,0,0,0,7549,1,0,1,0,0,0
13,"Boord AR","Labour","1946-11-27","Bay of Plenty",0,0,0,0,0,0,5915,0,0,0,0,0,0
14,"Fraser P","Labour","1946-11-27","Brooklyn",1,9,1,1,1,1,8216,1,0,1,0,0,0
15,"Hardy S","National","1946-11-27","Brooklyn",0,0,0,0,0,0,4281,0,0,0,0,0,0
16,"Skinner CF","Labour","1946-11-27","Buller",1,2,1,1,0,0,8211,1,0,1,0,0,0
17,"McDonald PE","National","1946-11-27","Buller",0,0,0,0,0,0,5299,0,0,0,0,0,0
18,"MacFarlane RM","Labour","1946-11-27","Christchurch Central",1,2,0,0,0,0,8300,1,0,1,0,0,0
19,"Wills AJ","National","1946-11-27","Christchurch Central",0,0,0,0,0,0,3880,0,0,0,0,0,0
20,"Ostler A","C","1946-11-27","Christchurch Central",0,0,0,0,0,0,302,0,0,0,0,0,0
21,"Roy James","National","1946-11-27","Clutha",1,3,0,0,0,0,7656,1,0,1,0,0,0
22,"Thompson JP","Labour","1946-11-27","Clutha",0,0,0,0,0,0,5516,0,0,0,0,0,0
23,"Connolly PG","Labour","1946-11-27","Dunedin Central",1,1,0,0,0,0,7633,1,0,1,0,0,0
24,"Sidey TKS","National","1946-11-27","Dunedin Central",0,0,0,0,0,0,5633,0,0,0,0,0,0
25,"Walls R","Labour","1946-11-27","Dunedin North",1,1,0,0,0,0,7487,1,0,1,0,0,0
26,"Jones NH","National","1946-11-27","Dunedin North",0,0,0,0,0,0,6217,0,0,0,0,0,0
27,"Omana T","Labour","1946-11-27","Eastern Maori",1,1,0,0,0,0,7321,1,0,1,0,0,0
28,"Ngata Apirana","National","1946-11-27","Eastern Maori",0,0,0,0,0,0,5804,0,0,0,0,0,0
29,"Fortune WH","National","1946-11-27","Eden",0,0,0,0,0,0,7055,1,0,1,0,0,0
30,"Freer WW","Labour","1946-11-27","Eden",0,0,0,0,0,0,5774,0,0,0,0,0,0
31,"Corbett EB","National","1946-11-27","Egmont",1,1,0,0,0,0,8135,1,0,1,0,0,0
32,"Parker CR","Labour","1946-11-27","Egmont",0,0,0,0,0,0,4737,0,0,0,0,0,0
33,"Holland SG","National","1946-11-27","Fendalton",1,3,0,0,0,0,8065,1,0,1,0,0,0
34,"Williams AG","Labour","1946-11-27","Fendalton",0,0,0,0,0,0,5061,0,0,0,0,0,0
35,"Massey JN","National","1946-11-27","Franklin",1,2,0,0,0,0,8545,1,0,1,0,0,0
36,"Gunn ADJ","Labour","1946-11-27","Franklin",0,0,0,0,0,0,4522,0,0,0,0,0,0
37,"Coleman DW","Labour","1946-11-27","Gisborne",1,4,0,0,0,0,8240,1,0,1,0,0,0
38,"Barker HH","National","1946-11-27","Gisborne",0,0,0,0,0,0,6225,0,0,0,0,0,0
39,"Hackett F","Labour","1946-11-27","Grey Lynn",1,1,0,0,0,0,9537,1,0,1,0,0,0
40,"Barry HG","National","1946-11-27","Grey Lynn",0,0,0,0,0,0,3627,0,0,0,0,0,0
41,"Ross GH","National","1946-11-27","Hamilton",1,1,0,0,0,0,6778,1,0,1,0,0,0
42,"Glanville JJ","Labour","1946-11-27","Hamilton",0,0,0,0,0,0,6451,0,0,0,0,0,0
43,"Cullen EL","Labour","1946-11-27","Hastings",1,3,0,0,0,0,7292,1,0,1,0,0,0
44,"Pryor EN","National","1946-11-27","Hastings",0,0,0,0,0,0,6809,0,0,0,0,0,0
45,"Sutherland AS","National","1946-11-27","Hauraki",1,2,0,0,0,0,7968,1,0,1,0,0,0
46,"Neate W","Labour","1946-11-27","Hauraki",0,0,0,0,0,0,5077,0,0,0,0,0,0
47,"Harker CGE","National","1946-11-27","Hawkes Bay",1,2,0,0,0,0,7755,1,0,1,0,0,0
48,"Beattie HE","Labour","1946-11-27","Hawkes Bay",0,0,0,0,0,0,5741,0,0,0,0,0,0
49,"Smith SW","National","1946-11-27","Hobson",1,1,0,0,0,0,8496,1,0,1,0,0,0
50,"Hatrick HK","Labour","1946-11-27","Hobson",0,0,0,0,0,0,4916,0,0,0,0,0,0
51,"Gillespie WH","National","1946-11-27","Hurunui",1,1,0,0,0,0,7121,1,0,1,0,0,0
52,"Mathison J","Labour","1946-11-27","Hurunui",0,0,0,0,0,0,5681,0,0,0,0,0,0
53,"Nash W","Labour","1946-11-27","Hutt",1,5,1,1,1,0,8025,1,0,1,0,0,0
54,"Vogel EF","National","1946-11-27","Hutt",0,0,0,0,0,0,5438,0,0,0,0,0,0
55,"Laing G","IL","1946-11-27","Hutt",0,0,0,0,0,0,163,0,0,0,0,0,0
56,"Simpson TF","US","1946-11-27","Hutt",0,0,0,0,0,0,50,0,0,0,0,0,0
57,"Hanan JR","National","1946-11-27","Invercargill",0,0,0,0,0,0,7315,1,0,1,0,0,0
58,"Denham WMC","Labour","1946-11-27","Invercargill",1,3,0,0,0,0,7091,0,0,0,0,0,0
59,"McKeen R","Labour","1946-11-27","Island Bay",1,7,0,0,0,0,8290,1,0,1,0,0,0
60,"Childs HE","National","1946-11-27","Island Bay",0,0,0,0,0,0,4332,0,0,0,0,0,0
61,"Berg BK","C","1946-11-27","Island Bay",0,0,0,0,0,0,345,0,0,0,0,0,0
62,"Bowden CM","National","1946-11-27","Karori",1,1,0,0,0,0,7776,1,0,1,0,0,0
63,"McGavin PCP","Labour","1946-11-27","Karori",0,0,0,0,0,0,5734,0,0,0,0,0,0
64,"McCombs TH","Labour","1946-11-27","Lyttelton",1,4,0,0,0,0,7862,1,0,1,0,0,0
65,"Taylor EBE","National","1946-11-27","Lyttelton",0,0,0,0,0,0,6319,0,0,0,0,0,0
66,"Oram MH","National","1946-11-27","Manawatu",1,1,0,0,0,0,7562,1,0,1,0,0,0
67,"Holloway PN","Labour","1946-11-27","Manawatu",0,0,0,0,0,0,5095,0,0,0,0,0,0
68,"Shand TP","National","1946-11-27","Marlborough",0,0,0,0,0,0,6935,1,0,1,0,0,0
69,"Meachen EP","Labour","1946-11-27","Marlborough",1,3,0,0,0,0,6756,0,0,0,0,0,0
70,"Murdoch AJ","National","1946-11-27","Marsden",1,1,0,0,0,0,7851,1,0,1,0,0,0
71,"Stewart JS","Labour","1946-11-27","Marsden",0,0,0,0,0,0,5702,0,0,0,0,0,0
72,"Semple R","Labour","1946-11-27","Miramar",1,5,1,1,0,0,8064,1,0,1,0,0,0
73,"Jacobsen LT","National","1946-11-27","Miramar",0,0,0,0,0,0,5582,0,0,0,0,0,0
74,"Hudson WA","Labour","1946-11-27","Mornington",0,0,0,0,0,0,9372,1,0,1,0,0,0
75,"Mclver LD","National","1946-11-27","Mornington",0,0,0,0,0,0,4691,0,0,0,0,0,0
