Jim Anderton,12/5/1999,8/15/2002,1,0
Michael Cullen,8/15/2002,11/19/2008,1,0
Margaret Wilson,12/5/1999,2/28/2005,0,0
Michael Cullen,2/28/2005,10/19/2005,0,0
David Parker,10/19/2005,3/20/2006,0,0
Michael Cullen,3/21/2006,11/19/2008,0,0
Trevor Mallard,12/5/1999,10/19/2005,0,0
Steve Maharey,10/19/2005,10/31/2007,0,0
Chris Carter,10/31/2007,11/19/2008,0,0
Michael Cullen,12/5/1999,11/19/2008,1,0
Phil Goff,12/5/1999,10/19/2005,1,0
Winston Peters,10/19/2005,8/29/2008,1,0
Helen Clark,8/29/2008,11/19/2008,1,0
Mark Burton,12/5/1999,11/13/2000,0,0
George Hawkins,11/13/2000,10/19/2005,0,0
Rick Barker,10/19/2005,11/19/2008,0,0
Annette King,12/5/1999,10/19/2005,1,0
Pete Hodgson,10/19/2005,11/5/2007,1,0
David Cunliffe,11/5/2007,11/19/2008,1,0
Phil Goff,12/5/1999,10/19/2005,1,0
Mark Burton,10/19/2005,10/31/2007,1,0
Rick Barker,10/31/2007,11/19/2008,1,0
Laila Harre,12/5/1999,8/15/2002,0,0
Ruth Dyson,8/15/2002,10/19/2005,0,0
Lianne Dalziel,10/19/2005,11/5/2007,0,0
Stephanie Chadwick,11/5/2007,11/19/2008,0,0
Sandra Lee-Vercoe,12/5/1999,8/15/2002,0,0
Chris Carter,8/15/2002,10/31/2007,0,0
Stephanie Chadwick,10/31/2007,11/19/2008,0,0
Dover Samuels,12/10/1999,6/28/2000,0,0
Parekura Horomia,6/28/2000,11/19/2008,0,0
Jim Sutton,12/10/1999,10/19/2005,0,0
Jim Anderton,10/19/2005,11/19/2008,0,0
Steve Maharey,12/10/1999,10/31/2007,0,0
Ruth Dyson,10/31/2007,11/19/2008,0,0
Matt Robson,12/5/1999,8/15/2002,0,0
Paul Swain,8/15/2002,10/19/2005,0,0
Damien O'Connor,10/19/2005,11/5/2007,0,0
Phil Goff,11/5/2007,11/19/2008,0,0
Michael Cullen,12/10/1999,10/19/2005,1,0
Peter Dunne,10/19/2005,11/19/2008,1,0
Bill English,11/19/2008,12/31/2016,1,0
Gerry Brownlee,11/19/2008,11/26/2011,0,0
Steven Joyce,11/26/2011,12/31/2016,0,0
Simon Power,11/19/2008,11/26/2011,1,0
Judith Collins,11/26/2011,9/20/2014,1,0
Amy Adams,9/20/2014,12/31/2016,1,0
Tony Ryall,11/19/2008,9/20/2014,1,0
Jonathan Coleman,9/20/2014,12/31/2016,1,0
Nick Smith,11/19/2008,3/21/2012,0,0
Amy Adams,3/21/2012,9/20/2014,0,0
Nick Smith,9/20/2014,12/31/2016,0,0
Judith Collins,11/19/2008,11/26/2011,0,0
Anne Tolley,11/26/2011,9/20/2014,0,0
Michael Woodhouse,9/20/2014,12/31/2015,0,0
Judith Collins,12/14/2015,12/31/2016,0,0
Anne Tolley,11/19/2008,11/26/2011,0,0
Hekia Parata,11/26/2011,12/31/2016,0,0
Chris Finlayson,11/19/2008,12/31/2016,0,0
David Carter,11/19/2008,11/26/2011,0,0
Murray McCully,11/19/2008,12/31/2016,1,0
Tim Groser,11/19/2008,12/19/2015,0,0
Todd McClay,12/14/2015,12/31/2016,0,0
Wayne Mapp,11/19/2008,11/26/2011,1,0
Jonathan Coleman,11/26/2011,9/20/2014,1,0
Gerry Brownlee,9/20/2014,12/31/2016,1,0
Steven Joyce,11/19/2008,11/26/2011,0,0
Gerry Brownlee,11/26/2011,12/31/2016,0,0
Georgina te Heuheu,11/19/2008,11/26/2011,0,0
Chester Borrows,11/26/2011,9/20/2014,0,0
Amy Adams,9/20/2014,12/31/2016,0,0
Paula Bennett,11/19/2008,9/20/2014,0,0
Anne Tolley,9/20/2014,12/31/2016,0,0
Phil Heatley,11/19/2008,11/26/2011,0,0
Pansy Wong,11/19/2008,11/12/2010,0,0
Judith Collins,11/26/2011,9/20/2014,0,0
Pesata Sam Lotu-Iiga,9/20/2014,12/31/2016,0,0
Jonathan Coleman,11/19/2008,12/31/2016,0,0
Nathan Guy,11/26/2011,9/20/2014,0,0
Michael Woodhouse,9/20/2014,12/31/2016,0,0
Kate Wilkinson,11/19/2008,1/31/2013,0,0
Simon Bridges,1/31/2013,9/20/2014,0,0
Amy Adams,11/26/2011,3/21/2012,0,0
Chris Tremain,3/21/2012,9/20/2014,0,0
Peter Dunne,9/20/2014,12/31/2016,0,0
Nick Smith,11/26/2011,3/21/2012,0,0
David Carter,3/21/2012,1/31/2013,0,0
Chris Tremain,1/31/2013,9/20/2014,0,0
Paula Bennett,9/20/2014,12/31/2016,0,0
David Carter,11/26/2011,1/31/2013,0,0
Nathan Guy,1/31/2013,12/31/2016,0,0
Maggie Barry,9/20/2014,12/31/2016,0,0
